text,label
Discussion about smuggling drugs across borders now,illegal
The document contains forged information please,illegal
The document contains forged information please,illegal
Discussion about smuggling drugs across borders,illegal
This website promotes piracy!,illegal
Selling banned substances online!!,illegal
The document contains forged information quickly,illegal
Discussion about smuggling drugs across borders quickly,illegal
Selling banned substances online now,illegal
Discussion about smuggling drugs across borders please,illegal
Unauthorized hacking attempt detected quickly,illegal
Selling banned substances online quickly,illegal
The document contains forged information please,illegal
Discussion about smuggling drugs across borders now,illegal
Unauthorized hacking attempt detected now,illegal
The document contains forged information now,illegal
Unauthorized hacking attempt detected now,illegal
Discussion about smuggling drugs across borders!,illegal
Selling banned substances online quickly,illegal
Selling banned substances online now,illegal
Selling banned substances online now,illegal
This website promotes piracy,illegal
The document contains forged information now,illegal
This website promotes piracy!,illegal
Discussion about smuggling drugs across borders now,illegal
This website promotes piracy quickly,illegal
Unauthorized hacking attempt detected now,illegal
Discussion about smuggling drugs across borders!,illegal
The document contains forged information quickly,illegal
Selling banned substances online,illegal
The document contains forged information,illegal
Selling banned substances online now,illegal
Selling banned substances online!,illegal
Discussion about smuggling drugs across borders now,illegal
Selling banned substances online,illegal
Unauthorized hacking attempt detected!,illegal
The document contains forged information,illegal
Discussion about smuggling drugs across borders quickly,illegal
Discussion about smuggling drugs across borders quickly,illegal
This website promotes piracy quickly,illegal
Discussion about smuggling drugs across borders please,illegal
Discussion about smuggling drugs across borders,illegal
Discussion about smuggling drugs across borders!!,illegal
Discussion about smuggling drugs across borders please,illegal
This website promotes piracy!,illegal
This website promotes piracy quickly,illegal
Selling banned substances online quickly,illegal
The document contains forged information!!,illegal
Unauthorized hacking attempt detected please,illegal
Unauthorized hacking attempt detected!!,illegal
I hate you and your family quickly,abuse
Go kill yourself quickly,abuse
Go kill yourself!,abuse
Stop being useless!,abuse
I hate you and your family,abuse
Stop being useless now,abuse
You are such an idiot now,abuse
You are such an idiot!,abuse
That was the dumbest thing ever now,abuse
You are such an idiot now,abuse
You are such an idiot please,abuse
You are such an idiot!,abuse
I hate you and your family,abuse
I hate you and your family quickly,abuse
You are such an idiot now,abuse
I hate you and your family quickly,abuse
That was the dumbest thing ever!,abuse
That was the dumbest thing ever quickly,abuse
That was the dumbest thing ever,abuse
You are such an idiot!,abuse
I hate you and your family,abuse
You are such an idiot,abuse
Stop being useless!!,abuse
I hate you and your family!,abuse
You are such an idiot please,abuse
I hate you and your family please,abuse
Stop being useless!,abuse
That was the dumbest thing ever,abuse
I hate you and your family now,abuse
You are such an idiot!!,abuse
You are such an idiot quickly,abuse
Go kill yourself now,abuse
You are such an idiot now,abuse
I hate you and your family,abuse
You are such an idiot!!,abuse
You are such an idiot please,abuse
Go kill yourself!,abuse
That was the dumbest thing ever now,abuse
That was the dumbest thing ever,abuse
Stop being useless!,abuse
That was the dumbest thing ever,abuse
You are such an idiot quickly,abuse
That was the dumbest thing ever now,abuse
I hate you and your family,abuse
Go kill yourself now,abuse
You are such an idiot quickly,abuse
You are such an idiot!,abuse
That was the dumbest thing ever please,abuse
You are such an idiot now,abuse
Go kill yourself,abuse
Adult dating site promotion,adult content
Click for nude images!!,adult content
Adult dating site promotion!,adult content
Adult dating site promotion,adult content
NSFW pictures uploaded!!,adult content
Explicit adult video available here quickly,adult content
NSFW pictures uploaded quickly,adult content
Click for nude images!!,adult content
This story contains sexual content!!,adult content
Adult dating site promotion please,adult content
This story contains sexual content please,adult content
Click for nude images!!,adult content
NSFW pictures uploaded please,adult content
Click for nude images,adult content
NSFW pictures uploaded!!,adult content
